pc4,stedelijkheid,mgr_mean,PercentageTrees,PercentageBushes,PercentageGrass
2343,2,6.3617503,22.01,10.54,48.22
2351,2,5.496106365,22.3,8.97,56.3
2352,1,5.402405145,25.01,9.28,42.73
2353,2,5.741073659,23.95,8.86,48.53
2355,5,5.423183037,18.36,7.95,53.22
2361,4,5.75127718,34.92,10.04,50.51
2362,5,4.871988055,17.75,10.39,55.36
2371,3,5.459763266,16.35,8.27,47.0
2374,5,5.234301578,24.1,9.19,53.54
2375,5,5.436408893,17.7,7.78,55.42
2376,5,5.742140301,23.34,10.28,54.31
2377,4,5.40334165,21.89,8.44,39.14
2381,4,4.870411582,24.61,9.17,55.11
2382,3,5.857892613,27.3,7.84,48.66
2391,4,4.624682067,19.6,9.29,58.15
2394,4,5.660921583,24.86,8.63,54.72
2396,4,4.82097653,23.07,8.25,54.69
2401,2,5.211669355,25.36,8.79,46.38
2402,1,5.308455814,25.36,8.31,43.92
2403,2,5.215726167,34.94,8.87,51.15
2404,2,6.772264257,25.74,7.44,39.81
2405,1,5.669199498,19.0,7.78,35.2
2406,1,5.34205325,28.33,8.36,44.95
2407,5,5.465543163,21.52,8.14,57.39
2408,2,6.105746675,14.42,7.91,47.41
2409,5,5.084245992,18.57,10.14,66.39
2411,2,5.124891402,20.92,8.56,52.91
2412,4,4.475359197,8.66,4.39,51.42
2415,5,4.856222924,21.08,8.95,61.51
2421,4,4.868123499,25.13,12.32,64.5
2431,5,5.084997066,18.69,8.58,53.01
2432,5,5.19302535,28.57,8.13,58.06
2435,5,5.666648028,21.37,8.6,57.87
2441,5,6.15672037,23.63,7.82,60.94
2445,5,4.97949931,24.89,8.05,58.02
2451,4,6.652218475,20.04,9.36,53.16
2461,5,5.514475918,21.7,8.59,53.06
2465,5,5.212814985,19.85,10.04,54.9
2471,5,5.617780595,30.14,7.74,50.17
2481,5,4.926592798,22.66,9.84,53.77
2491,3,6.563712115,22.9,8.79,53.1
2492,3,4.571268326,11.51,8.94,59.15
2493,3,5.609229635,15.72,7.6,53.87
2495,3,6.337673955,24.96,11.57,59.24
2496,2,5.873393928,23.61,9.89,52.95
2497,2,5.822434293,15.09,7.47,53.38
2498,3,4.261515254,15.86,10.07,47.17
2511,1,5.30812938,18.44,6.98,23.04
2512,1,5.295256601,18.36,7.75,28.18
2513,1,5.01702039,20.93,8.63,29.07
2514,1,5.24360852,34.26,8.31,29.32
2515,1,5.870473523,19.59,7.88,29.16
2516,1,6.805636749,20.13,7.66,34.97
2517,1,4.960240839,39.06,9.71,33.43
2518,1,4.985805996,21.55,10.04,27.77
2521,1,6.004599144,17.82,7.56,36.2
2522,1,5.234561718,14.78,8.66,25.5
2523,1,5.247392418,14.33,8.08,35.76
2524,1,5.075746342,16.04,8.31,30.62
2525,1,5.519213337,15.82,8.33,30.02
2526,1,5.39893821,12.8,7.44,29.1
2531,1,5.252493087,28.29,8.82,36.2
2532,1,5.170188906,24.85,7.23,34.39
2533,1,4.858233464,37.21,8.38,49.59
2541,1,4.721013286,26.15,8.45,49.85
2542,1,4.791219621,27.7,8.45,41.78
2543,1,4.544345453,27.73,8.07,44.84
2544,1,4.758366477,36.46,9.31,40.5
2545,1,4.851291278,25.34,8.49,42.62
2546,1,4.673831188,15.7,10.67,32.82
2547,1,4.921976655,26.56,8.63,33.9
2548,1,4.633173157,12.2,7.56,40.51
2551,1,4.282442748,27.07,10.26,41.05
2552,1,4.610821281,29.14,9.95,38.27
2553,2,4.06485814,45.68,10.27,39.22
2554,2,3.026470279,30.03,13.19,59.02
2555,1,3.922708572,36.21,12.68,48.77
2561,1,4.844237136,15.0,10.27,21.79
2562,1,4.962455691,15.14,8.16,27.98
2563,1,5.032861454,20.23,9.73,29.2
2564,1,4.671568823,24.03,11.05,39.11
2565,1,4.368548367,28.81,10.55,37.3
2566,1,4.117921504,34.74,14.32,44.27
2571,1,5.694481184,18.61,7.74,32.22
2572,1,5.006375136,13.89,6.59,28.53
2573,1,4.86790003,15.19,9.31,31.54
2574,1,5.2498997,16.71,8.74,25.16
2581,1,4.968179641,18.9,9.28,32.71
2582,1,4.621112634,19.84,11.33,26.94
2583,1,4.204839256,22.6,13.44,56.4
2584,1,4.438420386,26.46,10.39,30.79
2585,1,4.669108762,48.52,11.56,29.53
2586,1,3.206190938,17.34,12.26,61.29
2587,1,4.335385056,35.01,11.41,35.69
2591,1,5.386049843,27.98,8.99,47.16
2592,1,5.173118976,33.38,8.72,46.05
2593,1,5.205216337,20.23,11.07,36.49
2594,1,5.120096452,55.06,9.08,29.64
2595,1,5.995799318,20.12,9.87,33.19
2596,1,5.151531322,37.2,10.07,34.23
2597,2,4.140743931,35.49,13.57,47.56
2611,1,5.113512082,26.87,8.91,27.61
2612,1,5.835834106,28.99,9.24,39.65
2613,1,5.737675862,25.07,10.18,38.13
2614,1,4.959923642,23.14,8.39,39.37
2616,3,5.005716172,48.29,9.95,44.31
2622,2,4.992581613,20.68,10.04,45.41
2623,2,5.399678805,29.97,11.49,49.56
2624,1,5.975138433,34.19,8.59,36.82
2625,1,4.982869325,36.57,9.51,42.88
2626,3,4.525906898,35.55,11.82,67.09
2627,1,6.10872596,38.24,11.93,46.77
2628,1,5.735054994,32.71,8.44,37.34
2629,4,5.946672065,31.6,11.01,58.92
2631,2,4.504260624,20.81,9.96,55.98
2632,2,5.063292093,12.34,7.77,48.23
2635,2,5.304659424,15.35,8.77,51.01
2636,5,4.583039183,21.77,9.02,65.48
2641,3,4.239467236,32.62,11.32,55.47
2642,2,4.508332662,15.41,8.55,51.97
2643,3,4.456056033,11.66,5.8,47.34
2645,3,4.526250801,29.55,10.52,55.75
2651,3,4.466254883,17.97,8.48,57.09
2652,3,4.511373072,7.99,6.29,50.41
2661,3,5.03925697,30.47,9.5,53.77
2662,2,5.311167485,7.86,6.21,53.6
2665,4,5.029133869,22.62,8.67,53.86
2671,2,4.546249502,19.51,8.96,42.92
2672,2,4.605767321,12.51,7.63,32.5
2673,2,4.277294226,9.31,6.4,34.49
2675,4,4.442597534,17.43,8.89,41.56
2676,4,4.726003889,19.19,7.53,45.26
2678,3,4.362211249,19.05,7.87,42.63
2681,3,3.527844956,19.92,10.36,58.94
2684,3,3.788634338,6.69,7.46,44.38
2685,4,4.512047479,15.49,8.15,41.24
2691,2,4.248707103,30.22,9.95,45.47
2692,2,4.369439996,13.17,8.17,31.81
2693,3,4.256284635,13.74,7.47,46.95
2694,2,4.602942591,6.93,6.26,34.43
2711,1,5.371200594,20.15,7.85,41.61
2712,1,6.851016437,24.27,9.09,43.56
2713,1,5.405835899,28.34,9.63,46.79
2715,1,5.39039839,31.04,9.68,47.55
2716,1,4.794159088,40.29,10.63,58.44
2717,2,4.412222124,28.19,11.11,60.15
2718,2,6.229485902,19.37,8.16,46.61
2719,2,5.280031646,22.71,9.88,48.39
2721,2,4.862255125,8.8,7.75,55.45
2722,1,5.644412652,32.34,9.56,49.39
2723,2,5.283834818,25.22,9.48,50.06
2724,1,4.765332657,25.07,10.38,45.07
2725,2,4.309293857,26.56,11.07,51.46
2726,1,4.827736745,26.33,10.94,47.38
2727,1,4.343511622,24.4,10.42,49.84
2728,2,4.470315098,14.04,8.43,58.53
2729,2,4.630313764,11.18,7.84,51.67
2731,4,4.298770836,21.35,14.11,76.77
2735,5,4.223863898,18.33,7.45,62.0
2741,2,5.660258666,24.25,8.99,49.36
2742,2,4.513119268,21.59,9.41,63.26
2743,3,5.077324486,16.54,7.82,41.41
2751,4,3.748146939,18.99,8.13,52.41
2752,5,4.528139525,11.97,8.01,52.18
2761,4,4.856934717,25.23,8.83,61.55
2771,4,4.393563876,17.43,10.52,50.62
2801,1,5.507294587,25.41,9.53,33.17
2802,2,5.760634055,18.15,7.11,36.66
2803,2,6.233858613,25.32,8.94,45.01
2804,2,4.792111767,30.61,9.51,39.19
2805,1,4.539041186,25.53,9.15,49.92
2806,1,4.663405832,23.71,9.33,41.9
2807,2,4.341612549,21.4,8.54,42.83
2808,2,5.277289205,19.46,9.02,54.3
2809,4,5.483730889,17.45,8.04,57.34
2811,4,4.184841565,22.96,10.35,52.53
2821,5,3.609615696,22.24,8.65,53.35
2825,5,3.507895843,23.93,9.25,51.52
2831,4,4.07734169,25.9,9.45,56.22
2841,3,5.53513132,20.31,8.05,58.82
2851,5,3.918408295,24.44,8.91,56.91
2855,5,3.512095875,20.65,8.73,53.06
2861,4,3.904078756,21.33,9.21,56.92
2865,5,3.89685764,16.39,10.35,51.31
2871,3,4.248650783,20.9,8.62,52.22
2872,4,4.584778704,7.17,4.29,46.61
2901,2,5.132389096,15.39,7.92,42.44
2902,1,5.021094311,29.03,8.62,44.33
2903,1,4.746335253,22.39,7.77,44.88
2904,2,4.259919899,23.21,8.83,45.59
2905,2,4.512026283,28.57,8.65,49.31
2906,2,4.572185633,21.3,8.03,40.09
2907,2,4.465395668,35.56,9.13,40.22
2908,2,5.777665483,26.28,8.23,39.93
2909,3,6.233868344,11.99,5.89,45.15
2911,3,4.183027967,25.22,10.85,56.69
2912,2,4.51253209,20.22,8.78,47.15
2913,4,5.209191211,29.7,8.5,53.08
2914,2,5.363516443,26.57,8.75,47.35
2921,3,4.879168854,26.33,10.08,38.84
2922,2,4.791348763,23.63,7.94,36.27
2923,2,4.650252431,24.55,9.28,40.88
2924,2,4.49196342,25.56,9.44,43.15
2925,2,5.036252851,28.7,9.74,47.53
2926,2,4.933764924,24.0,8.84,42.15
2931,4,4.531622097,29.1,11.95,50.75
2935,5,3.978593478,18.65,8.98,59.32
2941,4,4.117215745,28.85,10.08,57.13
2951,2,5.113946273,19.27,8.07,36.92
2952,4,6.973208324,29.89,7.31,44.53
2953,3,4.611085568,24.5,8.44,48.53
2954,2,4.195863535,21.71,8.36,57.89
2957,4,4.271677582,18.92,7.71,52.31
2959,5,3.775836389,21.43,8.83,59.43
2961,4,4.1836876,16.84,8.19,71.13
2964,5,3.947553613,23.01,9.28,57.79
2965,5,4.156044788,19.13,8.27,50.5
2967,5,3.61154026,23.39,7.81,64.87
2968,5,3.449107985,17.52,7.47,69.3
2969,5,4.510230006,32.41,8.58,56.13
2971,5,3.826806963,22.81,7.56,58.14
2973,5,3.764224957,26.84,7.43,54.39
2974,5,3.462915603,20.26,7.58,57.79
2975,5,3.718496107,23.52,6.92,60.32
2977,5,3.775706718,25.93,8.46,59.96
2981,2,5.785539241,25.86,8.3,40.55
2982,2,5.464104842,32.82,8.39,46.6
2983,3,4.629708531,30.11,8.49,46.31
2984,2,4.91233929,31.35,8.81,40.03
2985,2,5.299047335,30.75,8.72,33.07
2986,2,5.343745998,32.42,9.32,41.81
2987,2,4.944904411,32.91,7.56,47.35
2988,5,5.323613393,26.49,9.47,57.98
2989,4,6.060677387,29.69,10.32,57.37
2991,2,5.10981737,25.97,8.95,50.0
2992,2,5.143636684,22.69,10.13,49.94
2993,2,5.006262577,19.48,11.56,51.0
2994,2,5.771030061,8.38,6.84,55.38
2995,4,4.776588993,25.06,13.08,55.41
3011,1,5.964288473,22.82,6.18,23.8
3012,1,5.812070941,23.2,6.66,23.43
3013,1,6.036853683,12.95,4.19,23.02
3014,1,5.591173896,21.41,7.74,25.91
3015,1,5.949299442,24.98,7.73,36.23
3016,1,5.431339485,41.27,7.94,37.43
3021,1,5.717921134,24.09,9.12,29.18
3022,1,5.630700507,25.49,9.14,36.37
3023,1,5.522456721,25.06,8.46,30.27
3024,1,5.275437017,17.25,6.41,34.32
3025,1,5.314294642,17.17,6.88,26.57
3026,1,5.64896575,23.45,7.05,28.75
3027,1,5.476532294,23.03,7.1,30.89
3028,1,5.846218203,24.6,8.4,42.08
3029,1,5.35935374,17.81,6.84,43.06
3031,1,5.470373637,30.06,7.79,32.96
3032,1,5.610574561,23.28,7.24,29.67
3033,1,5.660541648,25.42,8.96,26.74
3034,1,5.79446295,33.54,9.08,38.15
3035,1,5.312246384,19.93,8.05,24.7
3036,1,5.633322342,23.54,7.4,28.25
3037,1,6.056793187,24.46,8.88,28.15
3038,1,6.604195466,25.53,9.18,29.54
3039,1,6.16331115,29.55,10.08,39.65
3041,2,6.175513248,31.64,11.22,42.88
3042,2,6.152246928,28.89,8.71,37.31
3043,2,6.939287413,25.93,11.14,45.31
3044,3,6.348816448,22.71,7.82,34.94
3045,4,6.910217966,33.05,9.22,60.01
3046,5,5.318024389,38.03,8.76,68.59
3047,4,5.826032964,32.77,11.18,57.2
3051,1,5.352449967,18.27,9.89,29.43
3052,1,4.720697396,29.93,8.95,43.14
3053,2,6.491343793,31.87,10.21,48.89
3054,2,4.753061027,27.18,9.84,42.75
3055,2,4.614443087,31.04,10.94,40.07
3056,4,5.896639511,23.37,9.4,54.81
3059,3,4.40056407,11.11,7.99,49.4
3061,1,4.953349636,22.2,8.14,31.84
3062,1,5.208453654,48.22,9.06,39.69
3063,1,5.60100253,30.56,10.04,49.32
3064,2,5.369493422,24.27,9.3,42.51
3065,2,5.49284888,21.14,10.54,41.15
3066,1,5.115529089,26.87,8.78,45.56
3067,1,5.469053872,28.1,8.66,38.11
3068,1,5.60305049,30.2,8.89,38.88
3069,1,4.235019538,29.96,9.71,45.37
3071,1,5.337179035,18.78,7.45,32.95
3072,1,5.439101008,18.36,6.97,32.76
3073,1,5.104768917,21.18,7.27,25.73
3074,1,5.516163847,26.71,6.51,30.69
3075,1,5.119075299,28.37,9.66,36.99
3076,1,5.029441298,26.64,8.25,42.45
3077,2,5.502091816,31.65,7.6,36.81
3078,1,5.534017939,38.51,7.19,44.89
3079,1,5.061502987,29.34,8.8,44.21
3081,1,5.519433359,28.61,6.43,29.62
3082,1,5.169717262,28.33,7.89,33.85
3083,1,5.306739804,25.31,7.74,27.93
3084,2,5.508552418,38.92,8.9,44.97
3085,1,4.87431716,26.54,8.03,44.45
3086,1,5.055257798,26.17,7.68,41.4
3087,2,5.683109172,24.12,4.8,45.3
3088,5,7.280498015,21.34,6.76,37.31
3089,5,6.503546829,26.15,5.72,38.18
3111,1,5.169429045,23.35,7.46,25.9
3112,1,5.802025579,18.76,8.04,31.26
3113,1,5.269459567,19.03,6.36,47.95
3114,2,5.098221672,23.5,6.82,37.21
3115,4,6.163365074,28.03,8.47,39.9
3116,1,5.471689832,29.61,10.08,38.05
3117,1,5.626652995,18.73,9.3,38.44
3118,1,6.531920835,28.06,7.69,46.19
3119,1,6.13308882,25.51,7.39,40.31
3121,2,6.729352778,34.52,9.26,46.72
3122,1,6.535064536,28.1,6.72,50.7
3123,1,5.082402032,21.31,9.56,56.42
3124,2,5.223706169,22.51,9.04,57.99
3125,3,6.472349086,24.8,10.61,49.13
3131,1,6.10474541,21.31,8.26,34.09
3132,2,5.410917694,32.07,9.6,50.4
3133,2,5.560955075,39.09,10.0,55.03
3134,1,6.236079236,22.53,8.28,37.17
3135,1,6.370484614,20.03,9.52,42.11
3136,1,6.051646653,32.05,8.75,40.76
3137,2,4.476197367,28.2,10.19,50.74
3138,3,4.733753651,40.78,13.78,55.82
3141,2,5.087862165,28.96,9.24,49.92
3142,2,5.056450397,25.22,8.39,37.21
3143,2,4.860672964,37.5,10.47,50.42
3144,2,4.76780168,14.95,7.07,44.19
3145,2,4.77036917,19.84,8.73,42.31
3146,3,4.826585634,20.98,9.02,50.28
3147,2,5.140630221,15.83,6.09,50.51
3151,3,4.261223063,25.43,13.57,57.88
3155,4,4.383343955,23.33,9.22,63.83
3161,4,4.490045988,30.63,12.02,53.25
3162,3,5.491279835,7.7,6.58,42.32
3165,5,7.249149603,34.71,5.27,48.91
3171,3,4.539255545,21.67,9.86,46.09
3172,4,3.944021205,35.26,10.0,59.49
3176,4,5.376236378,53.17,9.33,36.19
3181,3,4.998417819,33.43,11.27,52.27
3191,2,4.964434005,27.84,8.32,38.71
3192,2,4.429467818,30.99,10.62,41.97
3193,2,5.533141609,44.0,7.56,41.9
3194,2,6.100031922,34.27,6.8,47.47
3195,4,7.022932004,32.42,8.77,51.34
3196,5,6.262998293,18.06,6.73,43.41
3197,5,7.177816279,28.27,5.87,49.73
3198,5,6.315861729,22.8,9.58,62.25
3199,5,5.786770404,18.75,11.44,58.6
3201,1,4.849789388,23.9,7.99,38.41
3202,2,5.640639268,41.67,8.47,44.83
3203,1,4.652211042,27.79,7.57,36.99
3204,1,4.467715681,24.37,8.97,33.54
3205,2,3.739365478,27.74,8.8,54.01
3206,2,4.032525217,24.4,7.92,30.54
3207,2,3.831214618,22.17,13.09,53.18
3208,2,4.480136011,39.51,9.44,38.52
3209,4,3.793837389,21.69,8.26,57.91
3211,5,4.728616931,33.29,9.13,57.95
3212,5,3.652270345,35.18,10.6,63.34
3214,4,3.333623113,23.05,9.34,70.1
3216,5,3.768548194,26.59,8.33,59.42
3218,5,4.906315733,33.88,8.01,52.66
3221,3,3.789015777,27.42,14.66,53.11
3222,3,3.964462717,28.41,11.5,57.9
3223,2,4.086480204,25.3,9.52,51.02
3224,2,3.96250356,27.43,9.45,44.78
3225,2,3.965932408,31.35,9.21,44.9
3227,5,3.405454127,26.92,9.48,61.34
3231,3,4.624688634,33.61,9.26,52.89
3232,3,4.217846433,20.88,8.98,49.04
3233,4,4.64026636,39.0,15.6,53.79
3234,5,3.633612286,25.59,9.66,61.27
3235,4,3.603794894,40.59,15.3,52.94
3237,5,4.475355628,24.65,8.55,61.49
3238,5,4.635747725,34.3,8.96,60.66
3241,3,3.756499365,29.5,9.58,57.1
3243,5,3.326999998,26.36,7.75,63.47
3244,5,3.501023722,29.41,11.77,58.39
3245,3,3.487635904,25.08,8.79,61.03
3247,4,3.318594018,25.69,13.83,74.88
3248,5,3.432288922,29.38,15.12,62.85
3249,5,3.262625252,24.59,12.47,66.71
3251,4,3.772282334,28.31,21.81,60.12
3252,5,3.212661433,30.93,20.34,67.98
3253,5,3.308214792,27.75,17.36,61.55
3255,4,3.576065862,29.08,9.29,60.53
3256,5,3.356499218,25.63,8.5,58.95
3257,5,3.506514961,34.33,16.1,63.42
3258,5,3.581923427,28.83,10.02,61.95
3261,3,4.544442726,18.58,8.74,50.72
3262,2,3.835129331,22.41,8.82,48.48
3263,3,3.85835177,24.83,8.94,42.67
3264,5,3.552877188,22.2,8.36,54.85
3265,5,3.457941417,22.45,8.28,58.91
3267,5,3.205271769,25.5,8.28,79.25
3271,5,4.434754015,27.06,9.98,53.95
3273,5,4.036995264,21.0,9.55,58.17
3274,5,4.504054568,30.9,11.78,52.67
3281,4,3.695585744,32.27,9.49,58.6
3284,5,3.382506836,31.71,9.98,70.2
3286,5,3.843868387,24.72,8.07,60.38
3291,4,3.494387951,24.26,9.13,66.22
3292,5,3.477586942,30.48,12.87,65.03
3293,5,3.895830711,30.29,9.72,54.74
3295,4,4.63751337,26.25,10.78,53.9
3297,4,4.532693284,26.93,12.17,50.44
3299,5,4.034927459,27.27,9.27,56.56
3311,1,5.452165844,26.3,8.74,28.49
3312,1,5.139714336,29.73,9.44,47.58
3313,3,4.35200462,32.48,14.4,58.29
3314,1,5.651212555,23.37,8.4,36.49
3315,2,4.57106209,21.87,9.06,43.67
3316,5,6.408419055,30.52,8.02,47.69
3317,1,5.927355426,29.06,8.75,42.34
3318,2,5.261389386,27.56,8.34,40.27
3319,2,4.57125247,28.7,9.18,43.36
3328,2,4.790286719,30.77,9.42,44.5
3329,4,3.746559379,31.65,12.34,66.29
3331,1,6.563469532,22.34,8.21,35.31
3332,1,5.064791737,21.71,8.55,43.4
3333,2,6.245008717,27.76,7.28,39.53
3334,2,5.479319333,28.53,7.95,46.28
3335,3,5.576135709,34.45,10.06,48.35
3336,3,5.690869042,27.38,14.99,51.7
3341,2,5.322759897,24.75,9.94,46.16
3342,3,5.743238115,23.11,10.08,54.88
3343,2,5.588823904,25.0,9.09,42.44
3344,2,4.98188633,8.92,7.27,39.41
3351,2,5.174514248,20.93,7.65,45.31
3352,2,6.150263629,21.48,9.04,48.97
3353,2,5.076229198,19.54,7.98,38.83
3354,2,5.403037782,27.04,9.48,43.29
3355,2,6.024216242,16.37,8.41,41.75
3356,4,6.265882457,32.26,8.89,45.28
3361,2,5.381983017,19.52,9.28,38.4
3362,2,5.591044713,21.27,8.81,38.78
3363,3,6.55313844,24.68,8.97,44.54
3364,3,5.484552436,22.54,7.41,58.44
3366,5,4.415480577,31.28,8.4,61.44
3371,3,6.037959527,21.28,9.53,47.04
3372,4,5.28715506,21.02,10.02,56.82
3373,4,4.2784085,24.0,7.52,66.57
3381,5,4.029968664,23.06,8.59,61.14
3401,2,4.220595515,22.89,9.51,51.46
3402,2,4.229559633,32.01,9.22,51.09
3403,3,3.477941622,26.47,8.64,60.76
3404,2,4.358489933,13.3,8.11,43.96
3405,5,3.703457372,19.35,7.89,59.84
3411,5,3.833970171,23.56,8.69,59.83
3412,5,3.78195466,27.13,8.74,59.58
3413,5,3.867836022,20.82,6.15,62.89
3415,5,3.426603857,23.01,8.19,55.46
3417,4,3.919463419,18.79,8.19,57.08
3421,4,3.64320452,21.34,8.49,54.05
3425,4,3.556031875,19.89,8.84,61.73
3431,1,4.723667429,26.68,8.44,37.64
3432,2,4.893472279,36.58,9.41,43.23
3433,3,5.813459944,31.28,8.66,51.57
3434,2,4.836050915,34.35,9.58,44.29
3435,2,5.053693137,27.14,10.18,42.7
3436,2,5.386825194,31.46,9.39,36.32
3437,2,5.245808015,26.99,9.48,46.21
3438,2,5.138101006,29.83,9.16,46.34
3439,3,6.042677281,31.27,8.31,50.92
3441,2,5.405070229,32.63,6.38,29.8
3442,2,5.74721528,19.71,7.63,33.51
3443,2,4.66257383,24.53,8.14,48.76
3444,4,5.034065451,29.58,7.92,59.2
3445,3,5.260165916,19.94,8.59,48.35
3446,3,6.036452402,16.38,8.76,49.88
3447,3,6.264375323,22.53,7.67,32.93
3448,2,6.131850905,25.75,8.97,48.47
3449,2,5.178991612,21.14,7.99,48.96
3451,3,5.335528743,22.0,9.7,52.92
3452,2,5.261562991,7.73,6.94,41.21
3453,2,5.647156663,14.0,8.08,49.87
3454,2,5.752244528,24.65,8.76,43.17
3455,5,5.056081684,38.51,8.22,62.11
3461,5,4.497462863,32.54,8.96,51.95
3464,5,4.084576971,17.39,8.09,51.37
3465,5,3.964447236,16.23,8.28,57.47
3466,5,4.383080719,20.91,9.07,51.61
3467,5,3.741315436,18.42,8.83,62.64
3471,5,4.588743753,20.94,9.13,51.73
3474,5,4.427853984,19.59,8.11,53.54
3481,4,5.151191079,24.24,9.01,54.3
3511,1,6.108685884,27.23,6.74,27.66
3512,1,5.511447508,34.11,7.89,28.92
3513,1,6.172617757,17.42,8.34,30.76
3514,1,5.756219138,22.62,10.09,35.09
3515,1,5.805820122,20.78,9.47,33.69
3521,1,5.917825084,15.74,8.56,31.47
3522,1,5.043641347,16.82,8.82,27.86
3523,1,5.317668156,25.33,8.91,40.23
3524,2,6.040734833,34.03,10.08,42.47
3525,1,5.786497692,26.56,9.0,35.97
3526,1,5.843164599,29.92,7.85,35.92
3527,1,5.819044284,22.94,7.29,34.76
3528,3,6.805041511,24.11,9.12,51.79
3531,1,5.871556954,20.41,7.95,24.23
3532,1,6.541123979,19.4,8.14,31.72
3533,1,6.165290291,26.69,9.83,36.52
3534,1,6.619695749,21.74,8.85,34.67
3541,1,6.169744347,17.96,5.14,42.27
3542,4,7.539556453,28.28,8.43,40.33
3543,2,6.252644247,13.66,7.33,47.82
3544,2,5.612610234,15.38,8.42,41.95
3545,4,5.576868479,31.48,9.2,55.63
3546,5,4.369349214,25.1,9.51,65.18
3551,1,5.988354405,21.73,8.49,29.45
3552,1,5.917161492,27.47,7.34,31.32
3553,1,6.036085993,26.86,8.69,28.76
3554,1,5.439711998,22.38,7.2,37.55
3555,2,6.074361981,24.08,7.71,43.63
3561,1,5.819697605,26.12,8.09,38.69
3562,1,5.935280451,30.85,7.59,38.86
3563,1,5.603382612,32.57,8.79,37.62
3564,1,5.790075498,30.27,8.23,39.44
3565,3,6.510434455,42.77,8.02,41.41
3566,2,5.941245582,34.21,10.31,54.78
3571,1,5.630036645,22.73,10.91,38.19
3572,1,5.455718126,25.49,9.92,33.17
3573,2,6.086200759,31.45,9.7,44.83
3581,1,5.475154773,31.31,8.87,32.8
3582,1,5.559524428,31.66,8.73,36.95
3583,1,5.903577358,29.36,10.52,33.82
3584,3,5.850450192,32.91,9.59,45.4
3585,4,5.817619243,41.55,10.24,55.72
3601,3,4.740164219,26.29,10.96,51.17
3602,3,5.339290927,32.38,9.71,47.72
3603,2,5.470435572,28.39,9.32,45.91
3604,3,6.4732149,23.89,8.84,43.49
3605,2,5.893088394,21.89,8.64,33.35
3606,3,6.793446238,29.36,8.75,34.85
3607,2,5.878015279,23.54,9.58,35.21
3608,3,6.568693837,34.71,9.78,31.69
3611,4,5.900538034,38.44,10.9,48.2
3612,5,4.312191686,28.47,12.78,56.24
3615,5,4.295250199,25.71,12.64,66.47
3621,4,5.557710339,29.87,9.54,45.48
3625,5,4.248490783,28.49,16.18,53.25
3626,5,5.972172904,19.81,9.63,54.9
3628,5,4.901223731,18.94,9.25,53.77
3631,5,5.5865059,39.09,8.72,50.77
3632,4,5.233169427,31.23,9.41,55.31
3633,5,4.719354598,26.89,10.16,55.44
3634,5,6.381367348,23.69,8.34,51.08
3641,3,5.442269151,23.66,8.47,50.29
3642,3,5.087020189,22.23,8.88,48.68
3643,4,5.203618201,21.0,8.47,54.66
3645,4,5.120255508,20.28,10.45,47.03
3646,5,4.635508988,22.32,8.07,65.6
3648,4,5.216750098,23.32,8.78,53.51
3651,5,4.625905275,25.79,11.8,56.76
3652,5,5.222361768,27.71,9.93,43.31
3653,5,4.648860853,14.95,6.79,55.85
3701,2,4.677080116,41.34,8.66,31.28
3702,1,4.938524016,25.44,9.06,35.32
3703,2,4.249158515,38.93,9.25,44.7
3704,2,4.575584107,34.89,9.54,41.24
3705,2,5.222813257,47.05,8.63,31.77
3706,3,6.017717452,58.23,9.88,24.36
3707,2,4.525594322,60.71,8.63,29.79
3708,3,4.178076335,56.73,8.0,30.53
3709,5,4.343314443,45.97,10.43,46.29
3711,5,4.117640103,58.09,9.4,31.38
3712,4,5.272908889,56.82,8.72,37.5
3721,2,5.023774238,38.5,9.11,38.43
3722,3,4.586224623,53.05,8.37,30.77
3723,3,4.527916507,59.93,8.37,29.62
3731,2,5.699503211,33.54,10.81,47.97
3732,2,5.252504016,54.72,8.55,39.91
3734,4,4.663532771,58.61,9.0,36.61
3735,5,4.676527707,64.77,7.81,25.07
3737,5,5.129972157,46.09,10.32,47.54
3738,4,4.927559297,40.53,8.56,48.71
3739,5,4.44676249,54.77,9.52,47.48
3741,2,5.609253843,29.24,9.03,52.45
3742,2,4.84974253,25.41,9.68,45.42
3743,2,4.943121084,51.92,9.27,34.35
3744,5,4.664190166,60.58,8.38,32.87
3749,5,4.260155605,61.99,7.74,31.33
3751,3,4.976491213,19.52,7.42,60.5
3752,3,4.726318257,22.76,8.08,57.24
3754,5,4.13447798,16.72,6.93,68.12
3755,4,4.805389564,35.4,9.51,60.28
3761,3,4.857184646,31.61,10.2,47.54
3762,2,5.37261392,31.1,9.24,40.85
3763,3,4.826615399,44.43,8.46,52.8
3764,3,4.714004493,27.9,9.22,59.24
3765,2,4.992418523,30.74,9.26,47.91
3766,2,4.350315003,53.82,8.5,37.41
3768,4,4.624117629,56.93,8.69,43.24
3769,4,5.05425297,48.06,9.42,36.36
3771,3,4.544277226,36.8,7.99,47.7
3772,3,4.431817793,29.01,7.51,42.5
3773,4,4.014832014,21.04,9.1,42.97
3774,5,3.928808593,37.35,7.07,54.94
3775,5,3.351703194,65.66,7.72,31.23
3776,5,4.324856733,55.51,7.98,35.75
3781,4,4.10683399,44.52,8.92,45.45
3784,5,4.602480156,44.05,8.57,48.04
3785,5,3.778448027,27.05,11.45,60.23
