pc4,stedelijkheid,mgr_mean,PercentageTrees,PercentageBushes,PercentageGrass
1275,1,4.853868508,27.5,10.87,35.28
1276,2,4.78068022,28.71,8.58,36.14
1277,2,4.355401114,11.56,8.85,45.82
1309,5,4.340746822,46.78,11.72,53.43
1311,2,5.531296938,24.22,9.14,45.44
1312,2,5.039037216,32.66,10.75,47.21
1313,3,5.007527852,21.17,9.07,49.23
1314,2,5.487662589,18.33,8.17,49.05
1315,1,4.97740972,18.58,6.04,30.4
1316,3,4.474792188,31.64,15.26,55.97
1317,3,4.884749099,24.02,8.9,43.3
1318,2,5.155710705,22.85,8.97,54.72
1319,4,4.277082304,32.43,13.09,57.26
1321,2,5.482633325,15.6,8.41,39.09
1322,4,6.09149764,40.82,9.24,49.57
1323,2,5.214903164,18.94,9.2,37.58
1324,2,4.98680931,28.77,8.42,46.82
1325,2,4.856259041,22.97,8.83,46.35
1326,2,4.816572783,20.65,8.88,41.28
1327,3,5.790845804,17.44,6.02,53.36
1328,2,4.853324772,13.16,7.34,47.17
1329,4,5.413389277,41.47,12.88,51.24
1331,5,4.677908847,31.4,11.63,61.92
1332,5,5.321711414,37.59,12.4,49.43
1333,2,5.132315558,25.04,8.24,49.07
1334,2,5.306746894,18.73,6.33,40.63
1335,2,4.919812033,31.36,10.47,41.92
1336,3,3.924001515,29.56,8.0,72.61
1338,2,5.311110445,29.66,9.63,47.85
1339,2,5.177805331,19.93,9.03,46.4
1341,5,4.313834499,39.52,9.77,56.75
1343,5,4.013264842,37.81,11.95,46.53
1349,5,4.624279748,40.69,9.95,59.87
1351,3,5.48296169,41.87,9.64,43.5
1352,2,4.709520195,28.03,8.39,44.96
1353,2,4.472522648,29.37,10.09,46.0
1354,2,4.451163113,23.83,7.43,34.27
1355,2,4.5752374,30.05,9.64,49.19
1356,3,4.244492022,30.7,9.43,43.67
1357,3,4.235918446,28.95,8.8,57.56
1358,5,4.527109612,43.49,10.32,52.2
1359,4,5.035889554,36.78,11.84,60.55
1361,3,5.203872833,36.68,8.11,51.93
1362,3,5.818671745,39.01,10.83,54.78
1363,2,4.91401304,34.56,8.94,47.11
1381,2,5.082344176,23.57,9.42,60.95
1382,2,5.772796203,25.81,8.18,42.59
1383,3,4.737976969,24.52,7.86,52.96
1384,3,6.760390311,21.4,9.72,54.36
1391,4,4.897924135,28.12,9.5,56.41
1393,5,4.455476825,28.94,8.63,51.07
1394,5,4.325766116,24.46,11.6,59.58
1396,5,5.545194159,27.39,8.53,57.25
1398,4,5.818465189,26.91,8.25,55.29
1399,5,6.054818928,40.04,10.67,50.62
1401,1,5.171668486,31.14,10.36,34.27
1402,1,5.015862216,23.38,10.2,32.42
1403,2,4.86072528,30.84,9.66,46.54
1404,1,5.553230324,24.97,9.2,26.07
1405,2,4.940559902,35.98,10.24,32.09
1406,2,4.994615096,48.86,9.74,44.9
1411,4,5.480112207,48.93,9.78,42.73
1412,2,4.887257293,35.48,16.31,48.17
1421,2,5.881519754,22.71,8.51,35.08
1422,2,5.990558759,26.94,8.86,37.98
1423,3,5.40730657,22.97,9.2,36.7
1424,4,5.948096775,21.31,8.27,49.08
1426,5,5.418647127,23.04,9.29,47.85
1427,4,5.688946113,20.73,7.86,47.16
1428,5,5.777723765,17.05,7.83,57.23
1431,3,6.77914078,25.07,9.93,43.98
1432,4,6.57629777,24.18,9.97,41.81
1433,4,6.152778074,17.32,8.33,43.39
1435,5,9.446191773,20.4,8.91,54.64
1436,4,8.268643306,23.21,7.64,50.72
1437,5,13.01403931,21.43,6.78,58.91
1438,5,10.41500456,17.58,6.49,52.59
1441,1,5.408342506,26.52,8.92,33.34
1442,1,5.422093541,26.88,7.93,37.98
1443,1,5.108881963,30.49,8.68,37.51
1444,2,5.21256146,37.9,8.76,35.15
1445,2,4.675171082,35.96,7.86,44.98
1446,3,5.458511595,29.54,8.91,53.62
1447,2,4.436510127,38.55,10.35,44.38
1448,2,5.620305921,21.13,8.94,41.23
1451,5,4.920014701,19.31,8.52,63.08
1452,5,4.760612588,24.61,7.81,57.72
1454,5,5.055356003,22.59,8.31,53.21
1456,5,5.525168658,30.67,7.13,58.13
1458,5,4.76377362,25.86,7.29,58.59
1461,3,5.178780285,34.38,7.97,52.03
1462,4,4.697009328,26.6,7.95,52.51
1463,5,4.430543799,28.08,6.04,54.73
1464,5,4.653133233,30.58,6.67,55.29
1471,5,4.656385115,27.44,7.27,57.61
1472,5,4.367365484,28.23,7.1,57.41
1473,5,3.995793601,22.92,7.26,56.22
1474,5,4.29137407,22.81,7.69,56.38
1475,5,4.599437458,27.7,8.01,63.19
1476,5,4.2613364,17.61,7.77,62.23
1477,5,4.176750741,21.57,7.4,51.69
1481,5,4.651720272,28.67,6.05,56.55
1482,5,4.271154257,32.52,6.75,57.1
1483,4,4.816668778,20.35,8.29,48.38
1484,5,4.840634527,20.21,8.06,58.5
1485,5,4.300359892,22.96,7.29,54.54
1486,5,4.723634796,20.37,9.0,56.36
1487,5,5.252339258,18.06,8.03,51.03
1488,5,5.279814252,32.22,7.99,62.45
1489,5,5.541234856,23.17,8.54,62.57
1501,1,5.909043843,19.3,7.47,26.44
1502,1,6.14865039,28.41,7.1,29.24
1503,1,6.005808744,31.6,8.33,38.1
1504,2,6.134133549,29.2,8.26,43.32
1505,2,6.469469415,33.51,8.96,36.83
1506,1,6.694732358,21.68,8.28,33.56
1507,2,5.976549402,17.12,8.34,42.38
1508,2,7.25327946,36.52,6.92,39.46
1509,4,6.142956512,28.88,11.06,54.87
1511,3,5.643874649,31.44,10.27,51.77
1521,2,6.950829997,25.57,6.09,45.44
1525,5,7.311229194,31.64,9.6,46.61
1531,2,5.149911065,19.07,7.44,55.94
1534,5,5.19873661,13.09,7.72,57.49
1536,5,5.980469774,24.48,8.91,53.66
1541,2,6.318436924,24.35,9.69,49.31
1544,3,6.086151221,20.6,8.45,44.32
1546,5,4.698913947,19.25,8.81,61.29
1551,5,6.033510763,20.53,8.57,59.67
